card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,other_identifier_content,other_identifier_type,name_type,name_language,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Heilige Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,H Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Barbara van Nicomedie,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,H. Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,St. Barbara,Alternative,Nederlands
Actors,0,0c82dc77-537a-5499-a0f2-3cab2e84c237,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Brabant Cloud ARK Identifier,Adrianus,"['Sint Adrianus', 'Sint-Adrianus', 'Sint-Adriaan', 'Sint Adriaan']",https://www.wikidata.org/entity/Q374822,Wikidata,Primary,Nederlands,,,,
Alternate names,1,0c82dc77-537a-5499-a0f2-3cab2e84c237,,,,,,,,,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Sint Adrianus,Alternative,Nederlands
Alternate names,1,0c82dc77-537a-5499-a0f2-3cab2e84c237,,,,,,,,,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Sint-Adrianus,Alternative,Nederlands
Alternate names,1,0c82dc77-537a-5499-a0f2-3cab2e84c237,,,,,,,,,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Sint-Adriaan,Alternative,Nederlands
Alternate names,1,0c82dc77-537a-5499-a0f2-3cab2e84c237,,,,,,,,,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Sint Adriaan,Alternative,Nederlands
